                Time,             Y-Force,      Work integrand,                Mass,           Mass error
    0.0000000000E+00,   -1.8607476060E-03,    0.0000000000E+00,    7.8053029033E-01,                  NaN
    7.8125000000E-03,   -8.8654316915E-04,    4.2153976238E-08,    7.8053029033E-01,                  NaN
    1.5625000000E-02,   -4.6462192464E-03,   -2.0713128512E-06,    7.8053029033E-01,                  NaN
    2.3437500000E-02,   -1.7458951741E-03,   -6.8374736444E-07,    7.8053029033E-01,                  NaN
    3.1250000000E-02,   -2.6827384010E-03,   -1.2952531939E-06,    7.8053029033E-01,                  NaN
    3.9062500000E-02,   -2.3769373178E-02,   -6.4890219494E-05,    7.8053029033E-01,                  NaN
    4.6875000000E-02,   -5.1382164432E-02,   -2.0791851602E-04,    7.8053029033E-01,                  NaN
    5.4687500000E-02,   -6.4419246745E-02,   -3.5237871293E-04,    7.8053029033E-01,                  NaN
    6.2500000000E-02,   -6.2948339571E-02,   -4.5396666655E-04,    7.8053029033E-01,                  NaN
    7.0312500000E-02,   -6.0471764263E-02,   -5.6460345027E-04,    7.8053029033E-01,                  NaN
    7.8125000000E-02,   -6.6667913687E-02,   -7.6132895963E-04,    7.8053029033E-01,                  NaN
    8.5937500000E-02,   -8.3158780865E-02,   -1.0929349510E-03,    7.8053029033E-01,                  NaN
    9.3750000000E-02,   -1.0744136189E-01,   -1.5895132027E-03,    7.8053029033E-01,                  NaN
    1.0156250000E-01,   -1.3616654934E-01,   -2.2733025786E-03,    7.8053029033E-01,                  NaN
    1.0937500000E-01,   -1.6632667879E-01,   -3.1520888247E-03,    7.8053029033E-01,                  NaN
    1.1718750000E-01,   -1.9566182296E-01,   -4.2172819659E-03,    7.8053029033E-01,                  NaN
    1.2500000000E-01,   -2.2289525656E-01,   -5.4536716820E-03,    7.8053029033E-01,                  NaN
    1.3281250000E-01,   -2.4800495824E-01,   -6.8564593950E-03,    7.8053029033E-01,                  NaN
    1.4062500000E-01,   -2.7235271044E-01,   -8.4494667009E-03,    7.8053029033E-01,                  NaN
    1.4843750000E-01,   -2.9805639430E-01,   -1.0286153031E-02,    7.8053029033E-01,                  NaN
    1.5625000000E-01,   -3.2654300746E-01,   -1.2417337733E-02,    7.8053029033E-01,                  NaN
    1.6406250000E-01,   -3.5734118099E-01,   -1.4844563807E-02,    7.8053029033E-01,                  NaN
    1.7187500000E-01,   -3.8825236743E-01,   -1.7505260428E-02,    7.8053029033E-01,                  NaN
    1.7968750000E-01,   -4.1679124963E-01,   -2.0312105065E-02,    7.8053029033E-01,                  NaN
    1.8750000000E-01,   -4.4165966696E-01,   -2.3216384212E-02,    7.8053029033E-01,                  NaN
    1.9531250000E-01,   -4.6318295122E-01,   -2.6242630677E-02,    7.8053029033E-01,                  NaN
    2.0312500000E-01,   -4.8267163191E-01,   -2.9469633879E-02,    7.8053029033E-01,                  NaN
    2.1093750000E-01,   -5.0142054390E-01,   -3.2976449367E-02,    7.8053029033E-01,                  NaN
    2.1875000000E-01,   -5.2002093520E-01,   -3.6791053364E-02,    7.8053029033E-01,                  NaN
    2.2656250000E-01,   -5.3820479601E-01,   -4.0867889511E-02,    7.8053029033E-01,                  NaN
    2.3437500000E-01,   -5.5508590546E-01,   -4.5098681008E-02,    7.8053029033E-01,                  NaN
    2.4218750000E-01,   -5.6957129103E-01,   -4.9346007307E-02,    7.8053029033E-01,                  NaN
    2.5000000000E-01,   -5.8076500023E-01,   -5.3484301470E-02,    7.8053029033E-01,                  NaN
    2.5781250000E-01,   -5.8824374236E-01,   -5.7433698125E-02,    7.8053029033E-01,                  NaN
    2.6562500000E-01,   -5.9213333868E-01,   -6.1175764564E-02,    7.8053029033E-01,                  NaN
    2.7343750000E-01,   -5.9298480178E-01,   -6.4746715970E-02,    7.8053029033E-01,                  NaN
    2.8125000000E-01,   -5.9153186782E-01,   -6.8212666682E-02,    7.8053029033E-01,                  NaN
    2.8906250000E-01,   -5.8845986227E-01,   -7.1639245939E-02,    7.8053029033E-01,                  NaN
    2.9687500000E-01,   -5.8429115640E-01,   -7.5069817700E-02,    7.8053029033E-01,                  NaN
    3.0468750000E-01,   -5.7940910985E-01,   -7.8520859624E-02,    7.8053029033E-01,                  NaN
    3.1250000000E-01,   -5.7415767396E-01,   -8.1993170753E-02,    7.8053029033E-01,                  NaN
    3.2031250000E-01,   -5.6892196715E-01,   -8.5489693446E-02,    7.8053029033E-01,                  NaN
    3.2812500000E-01,   -5.6412768367E-01,   -8.9029169069E-02,    7.8053029033E-01,                  NaN
    3.3593750000E-01,   -5.6016267371E-01,   -9.2649363897E-02,    7.8053029033E-01,                  NaN
    3.4375000000E-01,   -5.5727737802E-01,   -9.6400502762E-02,    7.8053029033E-01,                  NaN
    3.5156250000E-01,   -5.5553298410E-01,   -1.0033463698E-01,    7.8053029033E-01,                  NaN
    3.5937500000E-01,   -5.5483607069E-01,   -1.0449763916E-01,    7.8053029033E-01,                  NaN
    3.6718750000E-01,   -5.5504760904E-01,   -1.0892769791E-01,    7.8053029033E-01,                  NaN
    3.7500000000E-01,   -5.5611234732E-01,   -1.1365987131E-01,    7.8053029033E-01,                  NaN
    3.8281250000E-01,   -5.5814442428E-01,   -1.1873316692E-01,    7.8053029033E-01,                  NaN
    3.9062500000E-01,   -5.6143065818E-01,   -1.2419631185E-01,    7.8053029033E-01,                  NaN
    3.9843750000E-01,   -5.6635787417E-01,   -1.3011040353E-01,    7.8053029033E-01,                  NaN
    4.0625000000E-01,   -5.7330741493E-01,   -1.3654892184E-01,    7.8053029033E-01,                  NaN
    4.1406250000E-01,   -5.8256748609E-01,   -1.4359604935E-01,    7.8053029033E-01,                  NaN
    4.2187500000E-01,   -5.9429115793E-01,   -1.5134253003E-01,    7.8053029033E-01,                  NaN
    4.2968750000E-01,   -6.0849344978E-01,   -1.5987622482E-01,    7.8053029033E-01,                  NaN
    4.3750000000E-01,   -6.2505926198E-01,   -1.6926472926E-01,    7.8053029033E-01,                  NaN
    4.4531250000E-01,   -6.4373774524E-01,   -1.7953110283E-01,    7.8053029033E-01,                  NaN
    4.5312500000E-01,   -6.6412201542E-01,   -1.9062941339E-01,    7.8053029033E-01,                  NaN
    4.6093750000E-01,   -6.8563741586E-01,   -2.0243091476E-01,    7.8053029033E-01,                  NaN
    4.6875000000E-01,   -7.0756903516E-01,   -2.1473092522E-01,    7.8053029033E-01,                  NaN
    4.7656250000E-01,   -7.2914389709E-01,   -2.2727992956E-01,    7.8053029033E-01,                  NaN
    4.8437500000E-01,   -7.4965372941E-01,   -2.3983243326E-01,    7.8053029033E-01,                  NaN
    4.9218750000E-01,   -7.6857782063E-01,   -2.5219829100E-01,    7.8053029033E-01,                  NaN
    5.0000000000E-01,   -7.8565782182E-01,   -2.6427815953E-01,    7.8053029033E-01,                  NaN
    5.0781250000E-01,   -8.0089255545E-01,   -2.7606941566E-01,    7.8053029033E-01,                  NaN
    5.1562500000E-01,   -8.1445320210E-01,   -2.8763970527E-01,    7.8053029033E-01,                  NaN
    5.2343750000E-01,   -8.2655185103E-01,   -2.9907770388E-01,    7.8053029033E-01,                  NaN
    5.3125000000E-01,   -8.3731400198E-01,   -3.1043932634E-01,    7.8053029033E-01,                  NaN
    5.3906250000E-01,   -8.4670079449E-01,   -3.2170880694E-01,    7.8053029033E-01,                  NaN
    5.4687500000E-01,   -8.5450301370E-01,   -3.3278736419E-01,    7.8053029033E-01,                  NaN
    5.5468750000E-01,   -8.6039830631E-01,   -3.4351066405E-01,    7.8053029033E-01,                  NaN
    5.6250000000E-01,   -8.6403990133E-01,   -3.5368522093E-01,    7.8053029033E-01,                  NaN
    5.7031250000E-01,   -8.6513917171E-01,   -3.6312813051E-01,    7.8053029033E-01,                  NaN
    5.7812500000E-01,   -8.6351620432E-01,   -3.7169630615E-01,    7.8053029033E-01,                  NaN
    5.8593750000E-01,   -8.5911398282E-01,   -3.7929912023E-01,    7.8053029033E-01,                  NaN
    5.9375000000E-01,   -8.5199064655E-01,   -3.8589759211E-01,    7.8053029033E-01,                  NaN
    6.0156250000E-01,   -8.4231098867E-01,   -3.9149910649E-01,    7.8053029033E-01,                  NaN
    6.0937500000E-01,   -8.3035073437E-01,   -3.9615631120E-01,    7.8053029033E-01,                  NaN
    6.1718750000E-01,   -8.1651107442E-01,   -3.9997305352E-01,    7.8053029033E-01,                  NaN
    6.2500000000E-01,   -8.0132664090E-01,   -4.0311267750E-01,    7.8053029033E-01,                  NaN
    6.3281250000E-01,   -7.8544645003E-01,   -4.0579932044E-01,    7.8053029033E-01,                  NaN
    6.4062500000E-01,   -7.6957702606E-01,   -4.0830395131E-01,    7.8053029033E-01,                  NaN
    6.4843750000E-01,   -7.5439512240E-01,   -4.1091344935E-01,    7.8053029033E-01,                  NaN
    6.5625000000E-01,   -7.4045456444E-01,   -4.1388963661E-01,    7.8053029033E-01,                  NaN
    6.6406250000E-01,   -7.2811866280E-01,   -4.1743134230E-01,    7.8053029033E-01,                  NaN
    6.7187500000E-01,   -7.1754255492E-01,   -4.2165309754E-01,    7.8053029033E-01,                  NaN
    6.7968750000E-01,   -7.0871179186E-01,   -4.2658861464E-01,    7.8053029033E-01,                  NaN
    6.8750000000E-01,   -7.0152255419E-01,   -4.3221824123E-01,    7.8053029033E-01,                  NaN
    6.9531250000E-01,   -6.9587401544E-01,   -4.3851091927E-01,    7.8053029033E-01,                  NaN
    7.0312500000E-01,   -6.9174044969E-01,   -4.4546622521E-01,    7.8053029033E-01,                  NaN
    7.1093750000E-01,   -6.8920017711E-01,   -4.5314243823E-01,    7.8053029033E-01,                  NaN
    7.1875000000E-01,   -6.8841563962E-01,   -4.6166168204E-01,    7.8053029033E-01,                  NaN
    7.2656250000E-01,   -6.8957636653E-01,   -4.7119075192E-01,    7.8053029033E-01,                  NaN
    7.3437500000E-01,   -6.9282758404E-01,   -4.8190348178E-01,    7.8053029033E-01,                  NaN
    7.4218750000E-01,   -6.9820840450E-01,   -4.9393515117E-01,    7.8053029033E-01,                  NaN
    7.5000000000E-01,   -7.0561610285E-01,   -5.0734060027E-01,    7.8053029033E-01,                  NaN
    7.5781250000E-01,   -7.1480141712E-01,   -5.2206578629E-01,    7.8053029033E-01,                  NaN
    7.6562500000E-01,   -7.2538947460E-01,   -5.3793862459E-01,    7.8053029033E-01,                  NaN
    7.7343750000E-01,   -7.3691563692E-01,   -5.5468051369E-01,    7.8053029033E-01,                  NaN
    7.8125000000E-01,   -7.4886574718E-01,   -5.7193582790E-01,    7.8053029033E-01,                  NaN
    7.8906250000E-01,   -7.6071399745E-01,   -5.8931344662E-01,    7.8053029033E-01,                  NaN
    7.9687500000E-01,   -7.7195617112E-01,   -6.0643252120E-01,    7.8053029033E-01,                  NaN
