                Time,             Y-Force,      Work integrand,                Mass,           Mass error
    0.0000000000E+00,   -1.4586977667E-03,    0.0000000000E+00,    7.8653765150E-01,                  NaN
    1.5625000000E-02,   -2.5403569851E-03,   -1.6712846661E-06,    7.8653765150E-01,                  NaN
    3.1250000000E-02,   -1.0972488560E-02,   -2.3603531432E-05,    7.8653765150E-01,                  NaN
    4.6875000000E-02,   -3.1768578277E-02,   -1.2888104863E-04,    7.8653765150E-01,                  NaN
    6.2500000000E-02,   -5.5440552285E-02,   -3.7908552263E-04,    7.8653765150E-01,                  NaN
    7.8125000000E-02,   -7.9867769027E-02,   -8.4300979848E-04,    7.8653765150E-01,                  NaN
    9.3750000000E-02,   -1.1609102833E-01,   -1.7303530703E-03,    7.8653765150E-01,                  NaN
    1.0937500000E-01,   -1.6438935138E-01,   -3.2546735260E-03,    7.8653765150E-01,                  NaN
    1.2500000000E-01,   -2.1682784126E-01,   -5.4876411683E-03,    7.8653765150E-01,                  NaN
    1.4062500000E-01,   -2.7078114081E-01,   -8.5067876435E-03,    7.8653765150E-01,                  NaN
    1.5625000000E-01,   -3.2795444529E-01,   -1.2494814684E-02,    7.8653765150E-01,                  NaN
    1.7187500000E-01,   -3.8743259578E-01,   -1.7588850764E-02,    7.8653765150E-01,                  NaN
    1.8750000000E-01,   -4.4440310325E-01,   -2.3711365101E-02,    7.8653765150E-01,                  NaN
    2.0312500000E-01,   -4.9376342692E-01,   -3.0602051846E-02,    7.8653765150E-01,                  NaN
    2.1875000000E-01,   -5.3327547793E-01,   -3.8000248913E-02,    7.8653765150E-01,                  NaN
    2.3437500000E-01,   -5.6334829452E-01,   -4.5757100983E-02,    7.8653765150E-01,                  NaN
    2.5000000000E-01,   -5.8471963470E-01,   -5.3761367411E-02,    7.8653765150E-01,                  NaN
    2.6562500000E-01,   -5.9727074700E-01,   -6.1821118548E-02,    7.8653765150E-01,                  NaN
    2.8125000000E-01,   -6.0102699265E-01,   -6.9694578651E-02,    7.8653765150E-01,                  NaN
    2.9687500000E-01,   -5.9735508202E-01,   -7.7231788458E-02,    7.8653765150E-01,                  NaN
    3.1250000000E-01,   -5.8868049611E-01,   -8.4445960905E-02,    7.8653765150E-01,                  NaN
    3.2812500000E-01,   -5.7754921282E-01,   -9.1484600764E-02,    7.8653765150E-01,                  NaN
    3.4375000000E-01,   -5.6648216274E-01,   -9.8625099684E-02,    7.8653765150E-01,                  NaN
    3.5937500000E-01,   -5.5837533969E-01,   -1.0632030493E-01,    7.8653765150E-01,                  NaN
    3.7500000000E-01,   -5.5624265355E-01,   -1.1516845134E-01,    7.8653765150E-01,                  NaN
    3.9062500000E-01,   -5.6220613654E-01,   -1.2575735480E-01,    7.8653765150E-01,                  NaN
    4.0625000000E-01,   -5.7684027268E-01,   -1.3851647443E-01,    7.8653765150E-01,                  NaN
    4.2187500000E-01,   -5.9951799077E-01,   -1.5370420318E-01,    7.8653765150E-01,                  NaN
    4.3750000000E-01,   -6.2916135546E-01,   -1.7147084490E-01,    7.8653765150E-01,                  NaN
    4.5312500000E-01,   -6.6452183249E-01,   -1.9185109209E-01,    7.8653765150E-01,                  NaN
    4.6875000000E-01,   -7.0391792253E-01,   -2.1466271794E-01,    7.8653765150E-01,                  NaN
    4.8437500000E-01,   -7.4499171080E-01,   -2.3942334944E-01,    7.8653765150E-01,                  NaN
    5.0000000000E-01,   -7.8484266646E-01,   -2.6536659323E-01,    7.8653765150E-01,                  NaN
    5.1562500000E-01,   -8.2040761279E-01,   -2.9152597974E-01,    7.8653765150E-01,                  NaN
    5.3125000000E-01,   -8.4885371714E-01,   -3.1683252382E-01,    7.8653765150E-01,                  NaN
    5.4687500000E-01,   -8.6794753861E-01,   -3.4023586814E-01,    7.8653765150E-01,                  NaN
