                Time,             Y-Force,      Work integrand,                Mass,           Mass error
    0.0000000000E+00,    8.8817841970E-16,    0.0000000000E+00,    7.8653752187E-01,                  NaN
    1.5625000000E-02,   -3.3557915932E-03,   -4.9368814594E-07,    7.8653752187E-01,                  NaN
    3.1250000000E-02,   -1.3200864724E-02,   -2.0213872072E-05,    7.8653752187E-01,                  NaN
    4.6875000000E-02,   -2.9673587259E-02,   -1.0934903131E-04,    7.8653752187E-01,                  NaN
    6.2500000000E-02,   -5.2972120583E-02,   -3.4845022981E-04,    7.8653752187E-01,                  NaN
    7.8125000000E-02,   -8.3201938825E-02,   -8.4692168083E-04,    7.8653752187E-01,                  NaN
    9.3750000000E-02,   -1.2029659453E-01,   -1.7391553651E-03,    7.8653752187E-01,                  NaN
    1.0937500000E-01,   -1.6400290652E-01,   -3.1787674303E-03,    7.8653752187E-01,                  NaN
    1.2500000000E-01,   -2.1390381787E-01,   -5.3312350615E-03,    7.8653752187E-01,                  NaN
    1.4062500000E-01,   -2.6926452317E-01,   -8.3609441271E-03,    7.8653752187E-01,                  NaN
    1.5625000000E-01,   -3.2844249888E-01,   -1.2398395033E-02,    7.8653752187E-01,                  NaN
    1.7187500000E-01,   -3.8833084767E-01,   -1.7485415472E-02,    7.8653752187E-01,                  NaN
    1.8750000000E-01,   -4.4473914451E-01,   -2.3534865872E-02,    7.8653752187E-01,                  NaN
    2.0312500000E-01,   -4.9379812795E-01,   -3.0351617824E-02,    7.8653752187E-01,                  NaN
    2.1875000000E-01,   -5.3331079590E-01,   -3.7709062921E-02,    7.8653752187E-01,                  NaN
    2.3437500000E-01,   -5.6298204288E-01,   -4.5417449891E-02,    7.8653752187E-01,                  NaN
    2.5000000000E-01,   -5.8357984399E-01,   -5.3331455301E-02,    7.8653752187E-01,                  NaN
    2.6562500000E-01,   -5.9595015215E-01,   -6.1310127302E-02,    7.8653752187E-01,                  NaN
    2.8125000000E-01,   -6.0065136076E-01,   -6.9186252740E-02,    7.8653752187E-01,                  NaN
    2.9687500000E-01,   -5.9827628186E-01,   -7.6788862769E-02,    7.8653752187E-01,                  NaN
    3.1250000000E-01,   -5.9005992580E-01,   -8.4021374156E-02,    7.8653752187E-01,                  NaN
    3.2812500000E-01,   -5.7831477836E-01,   -9.0962574319E-02,    7.8653752187E-01,                  NaN
    3.4375000000E-01,   -5.6637511985E-01,   -9.7935325881E-02,    7.8653752187E-01,                  NaN
    3.5937500000E-01,   -5.5796155644E-01,   -1.0548696650E-01,    7.8653752187E-01,                  NaN
    3.7500000000E-01,   -5.5620562259E-01,   -1.1426550826E-01,    7.8653752187E-01,                  NaN
    3.9062500000E-01,   -5.6284681077E-01,   -1.2484713464E-01,    7.8653752187E-01,                  NaN
    4.0625000000E-01,   -5.7805854210E-01,   -1.3761507993E-01,    7.8653752187E-01,                  NaN
    4.2187500000E-01,   -6.0093820392E-01,   -1.5275502867E-01,    7.8653752187E-01,                  NaN
    4.3750000000E-01,   -6.3023362249E-01,   -1.7033678608E-01,    7.8653752187E-01,                  NaN
    4.5312500000E-01,   -6.6475898346E-01,   -1.9037845847E-01,    7.8653752187E-01,                  NaN
    4.6875000000E-01,   -7.0325611518E-01,   -2.1280475393E-01,    7.8653752187E-01,                  NaN
    4.8437500000E-01,   -7.4391489368E-01,   -2.3730490147E-01,    7.8653752187E-01,                  NaN
    5.0000000000E-01,   -7.8402917972E-01,   -2.6319297145E-01,    7.8653752187E-01,                  NaN
    5.1562500000E-01,   -8.2016809257E-01,   -2.8939777944E-01,    7.8653752187E-01,                  NaN
    5.3125000000E-01,   -8.4888266022E-01,   -3.1463918012E-01,    7.8653752187E-01,                  NaN
    5.4687500000E-01,   -8.6759972461E-01,   -3.3772806550E-01,    7.8653752187E-01,                  NaN
    5.6250000000E-01,   -8.7522236755E-01,   -3.5784163232E-01,    7.8653752187E-01,                  NaN
    5.7812500000E-01,   -8.7214354267E-01,   -3.7463763609E-01,    7.8653752187E-01,                  NaN
    5.9375000000E-01,   -8.5975626712E-01,   -3.8817833348E-01,    7.8653752187E-01,                  NaN
    6.0937500000E-01,   -8.3984667696E-01,   -3.9876228701E-01,    7.8653752187E-01,                  NaN
    6.2500000000E-01,   -8.1427414024E-01,   -4.0681567870E-01,    7.8653752187E-01,                  NaN
    6.4062500000E-01,   -7.8507127920E-01,   -4.1293143789E-01,    7.8653752187E-01,                  NaN
    6.5625000000E-01,   -7.5474324576E-01,   -4.1800941642E-01,    7.8653752187E-01,                  NaN
    6.7187500000E-01,   -7.2637300969E-01,   -4.2334625216E-01,    7.8653752187E-01,                  NaN
    6.8750000000E-01,   -7.0327211433E-01,   -4.3053271656E-01,    7.8653752187E-01,                  NaN
    7.0312500000E-01,   -6.8825255844E-01,   -4.4113956273E-01,    7.8653752187E-01,                  NaN
    7.1875000000E-01,   -6.8288677203E-01,   -4.5632376530E-01,    7.8653752187E-01,                  NaN
    7.3437500000E-01,   -6.8715733710E-01,   -4.7655337902E-01,    7.8653752187E-01,                  NaN
    7.5000000000E-01,   -6.9965421149E-01,   -5.0157693624E-01,    7.8653752187E-01,                  NaN
    7.6562500000E-01,   -7.1813565693E-01,   -5.3060189090E-01,    7.8653752187E-01,                  NaN
    7.8125000000E-01,   -7.4007777055E-01,   -5.6251751312E-01,    7.8653752187E-01,                  NaN
    7.9687500000E-01,   -7.6292718642E-01,   -5.9600215823E-01,    7.8653752187E-01,                  NaN
    8.1250000000E-01,   -7.8405945802E-01,   -6.2949067962E-01,    7.8653752187E-01,                  NaN
    8.2812500000E-01,   -8.0070161862E-01,   -6.6113350263E-01,    7.8653752187E-01,                  NaN
    8.4375000000E-01,   -8.1010370648E-01,   -6.8892195228E-01,    7.8653752187E-01,                  NaN
    8.5937500000E-01,   -8.1002759932E-01,   -7.1104104648E-01,    7.8653752187E-01,                  NaN
    8.7500000000E-01,   -7.9933806581E-01,   -7.2632556028E-01,    7.8653752187E-01,                  NaN
    8.9062500000E-01,   -7.7835574783E-01,   -7.3458718466E-01,    7.8653752187E-01,                  NaN
    9.0625000000E-01,   -7.4876059688E-01,   -7.3663863776E-01,    7.8653752187E-01,                  NaN
    9.2187500000E-01,   -7.1310997296E-01,   -7.3401994511E-01,    7.8653752187E-01,                  NaN
    9.3750000000E-01,   -6.7424654065E-01,   -7.2859613277E-01,    7.8653752187E-01,                  NaN
    9.5312500000E-01,   -6.3486991420E-01,   -7.2222596737E-01,    7.8653752187E-01,                  NaN
    9.6875000000E-01,   -5.9735727557E-01,   -7.1659030788E-01,    7.8653752187E-01,                  NaN
    9.8437500000E-01,   -5.6371224201E-01,   -7.1312175991E-01,    7.8653752187E-01,                  NaN
    1.0000000000E+00,   -5.3546421336E-01,   -7.1291733980E-01,    7.8653752187E-01,                  NaN
                 NaN,   -5.9262199892E-01,   -3.0321724794E-01,    7.8653752187E-01,                  NaN
