                Time,             Y-Force,      Work integrand,                Mass,           Mass error
    0.0000000000E+00,   -1.7319479184E-14,    0.0000000000E+00,    7.8540027826E-01,                  NaN
    3.9062500000E-03,   -2.2648101051E-04,   -9.1210784896E-09,    7.8540027826E-01,                  NaN
    7.8125000000E-03,   -8.6023682006E-04,   -1.2522147740E-07,    7.8540027826E-01,                  NaN
    1.1718750000E-02,   -1.8929908429E-03,   -5.7814783333E-07,    7.8540027826E-01,                  NaN
    1.5625000000E-02,   -3.3256302588E-03,   -1.7242502930E-06,    7.8540027826E-01,                  NaN
    1.9531250000E-02,   -5.1618063034E-03,   -4.0449621656E-06,    7.8540027826E-01,                  NaN
    2.3437500000E-02,   -7.4048145094E-03,   -8.1443540753E-06,    7.8540027826E-01,                  NaN
    2.7343750000E-02,   -1.0058317793E-02,   -1.4749101289E-05,    7.8540027826E-01,                  NaN
    3.1250000000E-02,   -1.3125606857E-02,   -2.4707463290E-05,    7.8540027826E-01,                  NaN
    3.5156250000E-02,   -1.6609896079E-02,   -3.8988519918E-05,    7.8540027826E-01,                  NaN
    3.9062500000E-02,   -2.0514279152E-02,   -5.8681193869E-05,    7.8540027826E-01,                  NaN
    4.2968750000E-02,   -2.4841603302E-02,   -8.4992913868E-05,    7.8540027826E-01,                  NaN
    4.6875000000E-02,   -2.9594445824E-02,   -1.1924814104E-04,    7.8540027826E-01,                  NaN
    5.0781250000E-02,   -3.4775074789E-02,   -1.6288655776E-04,    7.8540027826E-01,                  NaN
    5.4687500000E-02,   -4.0385382813E-02,   -2.1746076339E-04,    7.8540027826E-01,                  NaN
    5.8593750000E-02,   -4.6426831329E-02,   -2.8463351413E-04,    7.8540027826E-01,                  NaN
    6.2500000000E-02,   -5.2900447532E-02,   -3.6617477272E-04,    7.8540027826E-01,                  NaN
    6.6406250000E-02,   -5.9806881373E-02,   -4.6395886753E-04,    7.8540027826E-01,                  NaN
    7.0312500000E-02,   -6.7146437969E-02,   -5.7996143581E-04,    7.8540027826E-01,                  NaN
    7.4218750000E-02,   -7.4918966579E-02,   -7.1625499791E-04,    7.8540027826E-01,                  NaN
    7.8125000000E-02,   -8.3123611878E-02,   -8.7500232813E-04,    7.8540027826E-01,                  NaN
    8.2031250000E-02,   -9.1758605247E-02,   -1.0584485299E-03,    7.8540027826E-01,                  NaN
    8.5937500000E-02,   -1.0082126824E-01,   -1.2689139462E-03,    7.8540027826E-01,                  NaN
    8.9843750000E-02,   -1.1030818660E-01,   -1.5087887756E-03,    7.8540027826E-01,                  NaN
    9.3750000000E-02,   -1.2021533007E-01,   -1.7805275473E-03,    7.8540027826E-01,                  NaN
    9.7656250000E-02,   -1.3053795425E-01,   -2.0866406557E-03,    7.8540027826E-01,                  NaN
    1.0156250000E-01,   -1.4127034570E-01,   -2.4296822572E-03,    7.8540027826E-01,                  NaN
    1.0546875000E-01,   -1.5240559927E-01,   -2.8122365551E-03,    7.8540027826E-01,                  NaN
    1.0937500000E-01,   -1.6393552536E-01,   -3.2369046316E-03,    7.8540027826E-01,                  NaN
    1.1328125000E-01,   -1.7585060630E-01,   -3.7062914629E-03,    7.8540027826E-01,                  NaN
    1.1718750000E-01,   -1.8813986134E-01,   -4.2229905632E-03,    7.8540027826E-01,                  NaN
    1.2109375000E-01,   -2.0079059957E-01,   -4.7895645668E-03,    7.8540027826E-01,                  NaN
