Time,Y-Force,Work Integrand,Mass,Mass error
0.0,1.3322676295501878e-15,9.347140921849213e-23,0.7853981254340959,0.0
0.001,-1.7763568394002505e-15,-7.113236797061075e-19,0.7853981254340957,0.0
0.002,-4.440892098500626e-16,-2.0342927457566893e-17,0.7853981254340959,0.0
0.003,-1.7763568394002505e-15,-1.3661959511514876e-16,0.7853981254340955,0.0
0.004,1.3322676295501878e-15,-5.064806856347752e-16,0.7853981254340955,0.0
0.005,-8.881784197001252e-16,-1.3525515432545182e-15,0.7853981254340956,0.0
0.006,8.881784197001252e-16,-2.9337090518345996e-15,0.7853981254340954,0.0
0.007,-2.220446049250313e-15,-5.513766457668052e-15,0.7853981254340955,0.0
0.008,1.7763568394002505e-15,-9.339009984582e-15,0.7853981254340955,0.0
0.009,2.220446049250313e-15,-1.463685333616302e-14,0.7853981254340957,0.0
0.01,3.552713678800501e-15,-2.162468097863401e-14,0.7853981254340957,0.0
0.011,2.220446049250313e-15,-3.053985678936791e-14,0.7853981254340956,0.0
0.012,-3.9968028886505635e-15,-4.1663445189760176e-14,0.7853981254340954,0.0
0.013,-1.7763568394002505e-15,-5.53371728608835e-14,0.7853981254340959,0.0
0.014,0.0,-7.196474432792999e-14,0.7853981254340958,0.0
0.015,1.7763568394002505e-15,-9.198688795930346e-14,0.7853981254340957,0.0
0.016,-4.884981308350689e-15,-1.1584724288595652e-13,0.7853981254340959,0.0
0.017,-4.884981308350689e-15,-1.439495035414778e-13,0.7853981254340959,0.0
0.018,-4.440892098500626e-16,-1.7662249372758467e-13,0.7853981254340956,0.0
0.019,-3.552713678800501e-15,-2.1411527775171e-13,0.7853981254340956,0.0
0.02,-2.220446049250313e-15,-2.565870045019645e-13,0.7853981254340958,0.0
0.021,4.440892098500626e-16,-3.0415029140266906e-13,0.7853981254340959,0.0
0.022,3.1086244689504383e-15,-3.568998289022719e-13,0.7853981254340959,0.0
0.023,3.1086244689504383e-15,-4.1495388773474217e-13,0.7853981254340957,0.0
0.024,-2.6645352591003757e-15,-4.784881759911418e-13,0.7853981254340958,0.0
0.025,-1.7763568394002505e-15,-5.477489230787431e-13,0.7853981254340957,0.0
0.026,-1.7763568394002505e-15,-6.230330609500083e-13,0.7853981254340955,0.0
0.027,-8.881784197001252e-16,-7.047007426407446e-13,0.7853981254340959,0.0
0.028,-5.329070518200751e-15,-7.931416702752313e-13,0.7853981254340956,0.0
0.029,1.7763568394002505e-15,-8.887570883369015e-13,0.7853981254340956,0.0
0.03,1.7763568394002505e-15,-9.919589493408885e-13,0.7853981254340958,0.0
0.031,-1.7763568394002505e-15,-1.1031360948789368e-12,0.7853981254340957,0.0
0.032,1.7763568394002505e-15,-1.2226998452884337e-12,0.7853981254340957,0.0
0.033,4.440892098500626e-15,-1.3510208022595166e-12,0.7853981254340958,0.0
0.034,-3.9968028886505635e-15,-1.48848636621031e-12,0.7853981254340962,0.0
0.035,-1.3322676295501878e-15,-1.635458563363514e-12,0.7853981254340956,0.0
0.036,-7.105427357601002e-15,-1.7923074796191407e-12,0.7853981254340958,0.0
0.037,-2.220446049250313e-15,-1.959403309032722e-12,0.7853981254340955,0.0
0.038,-8.881784197001252e-16,-2.137139934789044e-12,0.785398125434096,0.0
0.039,-3.552713678800501e-15,-2.32597680762279e-12,0.7853981254340957,0.0
0.04,-8.881784197001252e-16,-2.526420043272472e-12,0.7853981254340958,0.0
0.041,-2.6645352591003757e-15,-2.739075694658883e-12,0.7853981254340956,0.0
0.042,-3.9968028886505635e-15,-2.964613925038408e-12,0.7853981254340958,0.0
0.043,-4.440892098500626e-16,-3.2037371637464297e-12,0.785398125434096,0.0
0.044,-4.884981308350689e-15,-3.4571243905405833e-12,0.7853981254340962,0.0
0.045,-1.7763568394002505e-15,-3.72537671288686e-12,0.7853981254340958,0.0
0.046,-4.884981308350689e-15,-4.008981658915139e-12,0.7853981254340957,0.0
0.047,0.0,-4.30821131466632e-12,0.7853981254340955,0.0
0.048,-7.105427357601002e-15,-4.623172259543299e-12,0.7853981254340957,0.0
0.049,5.773159728050814e-15,-4.953896043723416e-12,0.7853981254340959,0.0
0.05,6.661338147750939e-15,-5.3002688498013625e-12,0.785398125434096,0.0
0.051,2.220446049250313e-15,-5.6622238507951264e-12,0.7853981254340957,0.0
0.052,5.329070518200751e-15,-6.039830259355015e-12,0.7853981254340958,0.0
0.053,-4.440892098500626e-16,-6.433242662805551e-12,0.7853981254340959,0.0
0.054,2.6645352591003757e-15,-6.842805407568363e-12,0.785398125434096,0.0
0.055,-3.552713678800501e-15,-7.2689090834053205e-12,0.7853981254340959,0.0
0.056,-8.881784197001252e-16,-7.712032608250515e-12,0.7853981254340959,0.0
0.057,1.7763568394002505e-15,-8.172608671097359e-12,0.7853981254340958,0.0
0.058,4.440892098500626e-16,-8.650894269365346e-12,0.7853981254340959,0.0
0.059,-2.6645352591003757e-15,-9.147081657404768e-12,0.7853981254340958,0.0
0.06,-3.9968028886505635e-15,-9.661195000747972e-12,0.7853981254340958,0.0
0.061,1.7763568394002505e-15,-1.0193294535401848e-11,0.7853981254340958,0.0
0.062,-3.552713678800501e-15,-1.0743327184376098e-11,0.7853981254340959,0.0
0.063,-3.1086244689504383e-15,-1.1311533016713246e-11,0.7853981254340958,0.0
0.064,8.881784197001252e-16,-1.1898268737257382e-11,0.7853981254340959,0.0
0.065,-2.220446049250313e-15,-1.2504175652864081e-11,0.7853981254340958,0.0
